,User Name,Followers,Tweet,Polarity
8147,U.S. Navy,1440093,nhc annapolis operational approach to covid19 prevention puts u s navalacademy on track for fall 2020 semester,0
1192,Premium Times,1410876,covid 19 situation update 39 539 cases of covid19 in nigeria,0
1986,DZMM TeleRadyo,1398375,arianne merez joycebalancio andanar rest assured that the delivery of essential and timely information to the fi,0
5525,Ted Lieu,1386704,cia has assessed russia paid money to people to kill us troops russian hackers targeted covid19 research cente,0
421,India TV,1380321,who reports record daily spike in covid 19 cases via indiatvnews who coronavirus covid19,0
9140,Sara A. Carter,1282800,vp pence reminds nygovcuomo of earlier statements saying realdonaldtrump s response to covid19 was phenomen,0
4819,Dharmendra Pradhan,1264182,this will come as a big relief to states like odisha impacted by revenue losses due to the covid19 situation the,-0.0625
6748,CARE (care.org),1263691,racism violence and xenophobia in the u s have been compounded by the risks of covid19 exposure in 2020 it s,0
814,Tedros Adhanom Ghebreyesus,1242734,as long as covid19 is circulating we are all at risk that s why we re asking everyone to treat the decisions abo,-0.05
1207,Forbes India,1221858,domestic violence has been a long standing menace but during covid19 lockdowns women s rights orgs are seeing a s,-0.025
232,Blood Donors India,1215921,hubli karnataka need blood type any group at life life hospital blood component need plasma from,0
6079,ROSIE,1199944,watching him try to lie his way into staying in office he is such a dope americaortrump wakeup trumprussia covid19,0
3125,Sreedhar Pillai,1171417,covid19 samples tested up to july 25 in india 1 62 91 331 on july 25 4 42 263 highest samples tested on a,0
3773,Bloomberg QuickTake,1155788,1 000 protesters marched in manila ahead of philippines president duterte s annual address sona2020 they rallie,0
3767,AJ+,1146714,a widow confronted peru s president over the country s covid19 deaths,0
169,Gulf News,1142417,covid19 uae had announced an additional 30 day grace period for visit visas that expired after march 1,0
3579,#YFM,1141838,the tea master kandiskardash has landed is babes expecting a bun tbo touch plugs us with a covid19 fighter,0
2182,ABC7 Eyewitness News,1137870,watch live mayor eric garcetti provides update on covid19 response after new protections announced for essential,0.090909091
679,NCDC,1124747,one of our responsibilities at ncdc is to scale up capacity for covid19 diagnosis in nigeria as we respond to the,0
4786,State House Kenya,1110681,10th presidential address on covid19 pandemic komeshacorona,0
2272,RTA,1072976,the move is part of rta s continued efforts to enhance the implementation of precautionary measures taken to curb the spread of covid19,0
6975,Governor Hassan Joho,1039700,the county government of mombasa through the mombasa county emergency response committee on covid19 sunk six moder,0
7130,Toronto Star,1035083,this year amid the covid19 pandemic that will limit celebrations and in the roiling social aftermath of the poli,0.033333333
3815,UN Environment Programme,1033010,misinformation is spreading faster than covid19 itself and is designed to exploit our emotions and biases so pa,0
4916,Business Today,1032340,listen to bt india news podcast with rashopines pmmodi testinglabs coronavirus coronavirusindia,0
8594,TOI Sports,1026282,pandemic pushes mexico s lucha libre wrestlers outdoors and online read luchalibre,0
8301,The National,1018869,saudis who were chosen to perform hajj this year were limited to covid19 frontline workers here s one doctor s r,-0.071428571
8752,robertmarawa,1014636,mamntungwa my heartfelt condolences to you and your family your dad did not deserve this rip sa covid19 pati,0
4686,City of Joburg,1004056,gauteng police arrest over 600 suspects for contravention of covid19 disaster management regulations,-0.05
5005,António Guterres,995772,cities are bearing the brunt of the covid19 crisis especially in poorer areas as we respond to the pandemic w,0
3383,Modern China,948630,profits of china s major industrial firms reached 2 511 49b yuan 358 76b down 12 8 yoy in h1 2020 amid the,-0.046527778
47,UNICEF India,932904,i miss them but this is my duty this is the story of noman saghir a doting father a lab technician and one o,0
140,moneycontrol,886063,in pics faces of frontline workers around the world in fight against coronavirus a big applause,0
2538,Al Arabiya English,852542,flying from dubai to the uk or european union eu requires taking a covid19 pcr test in the uae before arrivi,0
94,U.S. Surgeon General,844126,are you and your family making plans this weekend keep these things in mind during the covid19 pandemic,0
7,Oxfam International,843670,covid19 is everyone s fight i have covered major disasters but nothing like this before fabeha monir a vi,0.0625
8163,Sarbananda Sonowal,829448,from performing their duties with professionalism to donating plasma assampolice has truly set a benchmark in ser,0
1680,BERNAMA,824789,world covid19 france to test travellers from 16 countries,0
6658,Guardian sport,818808,andy murray calls for severe sanctions if players break us open covid19 bubble tumcarayol,0
6395,FEMA,811445,have you recovered from covid19 your plasma now contains antibodies that may help others fight off the disease t,0
8459,Goldman Sachs,807172,watch gs chief japan economist naohiko baba appears on nhk world to discuss the risks going forward for the japan,0
4853,U.S. Embassy in the Philippines,805337,usembassyph is now accepting ds 82 u s passport renewal application for eligible individuals by mail only with,0
7613,Reno Omokri,804019,is the covid19 vaccine a demonic agenda as bishop oyedepo alleges,0
1309,Manila Bulletin News,789786,teachersdignity demands strict observance of health protocols and work arrangements from the deped ph after re,0
502,CNBC-TV18,789186,vocalforlocal shereenbhan decodes the mind of the post covid19 shopper with homegrown amp indie brands shubhra,0
833,The Daily Star,788205,a dhaka court placed sharmin jahan proprietor of aparajita international on a three day remand in a case filed ov,0
